GaAs,GaSb,InSb,InAs,Eg_GaAs,Eg_GaAs3Sb1,Eg_GaAs2Sb2,Eg_GaAs1Sb3,Eg_GaSb,Eg_In1Ga3Sb,Eg_In2Ga2Sb,Eg_In3Ga1Sb,Eg_InSb,Eg_InAs1Sb3,Eg_InAs2Sb2,Eg_InAs3Sb1,Eg_InAs,Eg_In3Ga1As,Eg_In2Ga2As,Eg_In1Ga3As,meff_GaAs,meff_GaSb,meff_InSb,meff_InAs,loss
642,1235,454,0,1.517940047003461,0.7890039711645472,0.47536798489331794,0.5509303833236731,0.8141812194107652,0.2981595060127927,0.2109851242420821,0.24369967815896587,0.23333455157985997,0.13281318191138852,0.07810702788102582,0.2226206344324331,0.4176501571014782,0.5624861787593574,0.7017059246212103,0.9989311648522012,0.1500591534384168,0.14440575270768657,0.09080909970340205,0.09410003409211609,1.0785316354863588
1017,310,1256,1345,1.5204260886215577,0.9205704559828751,0.8319690682444452,0.8342256926301901,0.812865402440083,0.47295854755880457,0.2992472286968769,0.25561326227796993,0.2348839983902643,5.689222898563884e-10,0.0050406162884317025,1.6881434694915322e-09,0.41621816858309396,0.6489257881689693,0.7656911586205873,1.0790173587033371,0.16082011311840924,0.131422024400576,0.10324750768286821,0.1211146117908188,1.7742646177205181
643,1236,455,1,1.519710121822197,0.7884381942191913,0.4740590017770571,0.5492140785347437,0.8113813876071078,0.2970673296014802,0.21036608749867342,0.24404320515878875,0.2350287511558184,0.1338634278977228,0.07894214676226999,0.22337590872733792,0.4183889054416315,0.5634463814828093,0.7031137308497059,1.0002467929243906,0.15016132747644514,0.1442181445159912,0.09088905309891908,0.09413176107908194,1.077000842186764
1402,1712,913,0,1.5192828692854023,0.18620134368299399,0.0483838235571672,0.2244260532573779,0.8109343320269742,0.2935696634685314,0.1748182186755308,0.24599910928619223,0.23332112310196623,0.0014824369694941442,0.007114090476161378,0.10575117378410766,0.4176501571014782,0.477416602478641,0.542125295698484,0.8701222079807867,0.1791843415094995,0.1597435521706158,0.09627202878248721,0.09410003409211609,2.262847938116755
297,1400,446,626,1.51971166563276,0.7726631146194762,0.3541511752479917,0.454463113355663,0.813051118200229,0.2587223081877029,0.17470837189063593,0.22550510965732226,0.23631028430017473,0.18790269344366445,0.1541849260223745,0.22896529849281103,0.4174090734439485,0.619091922116046,0.7849840125216745,1.0813219604756348,0.14408794392871163,0.14875009124139207,0.09086259273250165,0.10121245087990911,1.1451911431917303
135,1181,1133,143,1.5171468532077406,0.8555678265901666,0.44847116028434614,0.5296079942207255,0.8109844895904047,0.4107402504020223,0.28709388173749717,0.3006546833244293,0.2343427833202431,7.329831306246426e-10,0.007465925568210235,0.05164361900043858,0.41744514172948427,0.6024239572395236,0.7727778830628929,1.0644405581238676,0.14198882956221837,0.14290313687961173,0.10038525981370473,0.0952646501712603,1.7458272781759465
854,1195,4,509,1.5189270069396488,0.737533446769367,0.48549569921998276,0.5683336287653965,0.8127998477487921,0.22164519891204384,0.1580992039153823,0.20175426585712028,0.234859257681617,0.2266394235774051,0.21695906531133607,0.27339147401110153,0.41809921763025876,0.5900969927662999,0.7235496349192463,1.0265680941189255,0.15545461405982294,0.14335658873846663,0.08791506637822007,0.09943941101743559,1.2599740079313784
365,1712,0,115,1.517432768002219,0.6320944472848263,0.17687678838567655,0.3101361886678099,0.8109343320269742,0.0748534349066509,0.0032267839242691274,0.11191434737843851,0.23527218694419716,0.21594790562102617,0.20398662676652143,0.2892811891010724,0.4154850914813363,0.5886751359124682,0.7479082553279148,1.0416985490207398,0.14498641347573704,0.1597435521706158,0.08791194912302318,0.09495366661629588,1.8813465129394715
690,915,562,493,1.5210640806607094,0.8874591237429968,0.6405224260039099,0.6822053331774828,0.8109130652558181,0.3784547956604404,0.27482844943675283,0.2792744910908223,0.23816595649733566,0.16346946510779536,0.11958838271581489,0.21950910616483177,0.41857199100592457,0.5998167430306808,0.7450197985616928,1.042953040670029,0.1512834784449272,0.13782502068895391,0.09200285392923237,0.09923206934080701,0.6545277687101425
1022,439,432,212,1.5198190242940852,0.892802511307888,0.7963259577550162,0.8134779523708227,0.8134111681858409,0.43721360252413005,0.3126374410706405,0.28768656333866804,0.2358916266066671,0.16156779143032096,0.11763280467177624,0.23767971215843664,0.417083034507288,0.547673609958345,0.6600318409365619,0.9692163483490415,0.16096964091547156,0.1324012994828157,0.09072556990384735,0.0958949350619525,0.5766552813909135
422,137,171,538,1.5180330561169184,1.1134690799414158,0.9136939565918177,0.8611289515503557,0.810173672186698,0.4502572211944927,0.3200095667390542,0.2841634345890028,0.2334181133929939,0.21357954517581612,0.19610266370170268,0.258596646871363,0.414740547713761,0.609205520149923,0.7707185273866475,1.0665402260211398,0.1459058349219335,0.13027941674927215,0.08875819590257698,0.09973557687391986,0.6239376315562455
1321,0,0,813,1.5183670641279035,0.816500187010486,0.8095978106405722,0.8292298863589793,0.8134110754414716,0.4560193571998372,0.3254853643688973,0.28555002969315674,0.23527218694419716,0.2210603845163334,0.20468926269880355,0.23481876990092668,0.4184742810132988,0.5921526509561923,0.6867490236357139,1.0086402318111638,0.1743783969158449,0.12989048762491634,0.08791194912302318,0.10477045162567335,0.7121863797248016
0,396,0,1362,1.518851572612944,1.0974360829725944,0.7995197445289591,0.7820130492916413,0.8136195397544861,0.40310857091193675,0.2946433257902231,0.2742398754715777,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.1320764594771643,0.08791194912302318,0.12177640336686471,0.8679617017673819
1538,0,1093,0,1.5190364994465948,0.6960141006891845,0.7366148623969225,0.7998584428783599,0.8134110754414716,0.47931187144697673,0.2985696592746525,0.24066628789514014,0.23685859358502895,5.948219425233603e-10,0.007231819928652378,0.0470476851468613,0.4176501571014782,0.45766384146193934,0.5046126606787301,0.8432570049137652,0.18852930260343473,0.12989048762491634,0.09967661728552293,0.09410003409211609,1.7784375831431256
969,591,0,1362,1.5204722347934203,0.8824422836307166,0.7533808016140251,0.7800359665277931,0.8140111889069794,0.3653999187640123,0.26959326848643006,0.2620166708360326,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.6478110389401069,0.7684023615257273,1.0810034516756089,0.15914038902963878,0.1338575314377781,0.08791194912302318,0.12177640336686471,0.9411034338643822
0,0,721,0,1.518851572612944,1.1700530339863866,0.922707524346043,0.8634236369500944,0.8134110754414716,0.4832745858884949,0.32266685472285683,0.26992170405370147,0.23491498468200944,0.06765968033091514,0.007796504784767735,0.1616559026339958,0.4176501571014782,0.6017376749620839,0.776304301636061,1.0678351366177012,0.1406861269011718,0.12989048762491634,0.09364114929692915,0.09410003409211609,1.231209484405743
941,0,0,0,1.519267030928177,0.9901674843811374,0.8977995039207961,0.8657087085168718,0.8134110754414716,0.4560193571998372,0.3254853643688973,0.28555002969315674,0.23527218694419716,0.2098861024791403,0.19614324856511717,0.2898626045027569,0.4176501571014782,0.5339192751554613,0.6482685262873848,0.9531749240104911,0.15815293520794546,0.12989048762491634,0.08791194912302318,0.09410003409211609,0.691056644004028
0,1712,1500,1362,1.518851572612944,0.6159955141790359,0.10186355244122301,0.27167732581472886,0.8109343320269742,0.41658201070546336,0.26397808688694896,0.3328477650155601,0.23363727003563858,1.2332243632395823e-09,0.004962618248249166,8.235231563569202e-10,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.1597435521706158,0.11034391921068991,0.12177640336686471,2.1263472712211375
1538,1712,0,1362,1.5190364994465948,0.09533861983869012,0.003330145565632925,0.19352616137580392,0.8109343320269742,0.0748534349066509,0.0032267839242691274,0.11191434737843851,0.23527218694419716,0.17460027854014512,0.10459917277715215,0.08995365464769474,0.41476308426944525,0.6556980238686735,0.7126622371571687,1.0582628369463367,0.18852930260343473,0.1597435521706158,0.08791194912302318,0.12177640336686471,2.252493919379525
0,0,932,1362,1.518851572612944,1.1700530339863866,0.922707524346043,0.8634236369500944,0.8134110754414716,0.48160311566668906,0.3094803088044618,0.2526303733741608,0.23266650191949412,0.09797076104082553,0.006324109423784481,9.025846179566699e-10,0.41476308426944525,0.5933407591329561,0.765403155767128,1.078378702599739,0.1406861269011718,0.12989048762491634,0.09654811978263372,0.12177640336686471,1.5058132200280452
1538,569,0,0,1.5190364994465948,0.5714800826514743,0.6235019484090057,0.7453409658015764,0.810645868323654,0.3708034005652359,0.2736809545025672,0.2639501768976915,0.23527218694419716,0.2098861024791403,0.19614324856511717,0.2898626045027569,0.4176501571014782,0.45766384146193934,0.5046126606787301,0.8432570049137652,0.18852930260343473,0.13338892916065365,0.08791194912302318,0.09410003409211609,1.0278534197808427
